============================================================
戸塚宏 発言記録集（圧縮版）
[01:09] なんか恐れてどうするんや。トランプ見て
[01:12] みや。平気でマスコミと喧嘩するやないか
[01:14] 。全部フェイクニュースだって言うじゃん
[01:16] 。全部フェイクニュースだよ。だけど自民
[01:18] 党の議員で日本のマスコミが全部フェイク
[01:21] ニュースだということがはっきりと分かる
[01:23] ものがおるかな。いやしないやろ。あいつ
[01:26] はヤ和魂を身につけてたら全部フェイク
[01:29] ニュースだということが分かるんやら。
[01:31] そういうね全てが戦教育によってこんな風
[01:35] になっちゃう。日本人全体がザメになった
[01:37] んやから。特に男がザメになったんやから
[01:40] 。しっかりした男になろうよ。みんなを
[01:42] リードしようって言ってる人間がへな
[01:44] チョコでどうするんや。
[01:48] 校長が自民党の議員とかこれまでの政治家で大和魂を身につけていてしっかり尊敬できる人物っていらっしゃるんですか?
[01:56] いや、俺もう全然そういう政治の面も経済の面も詳しく見たことないもんでな。あれだけど戦後日本を引っ張っていった人たちやないからともかくあやってゼロでされてな。ゼロよりマイナスよね。そっから世界トップまで引っ張り上げていった人たちがいたわけやん。その人たちこそ男やないかな。
[02:16] それを野党が散々攻撃したやろ。あいつらの方がおかしい。お前らできたのと。野党の連中には決してできんわな。自民党のあい男らしい連中が偉い人やっとったからこそできたことや。
[02:28] 次の選挙とかだと自民党がさらにピンチになるんじゃないかって言われてたりするんですけど
[02:33] ねえ。どうも石葉さん情けな。ふにゃーっとしとるよね。黙って俺についてこいという風やないといかんねん。黙って俺についてこいという自信のある人はね、正しい人に決まっとるんや。
[02:45] 間違っとる人はほのって言えんからね。
[02:47] 千葉さんはなんかフラフラす、フラフラ
[02:49] するよね。喋り方もなんかこう信用できる
[02:52] んやろかというような喋り方するしな。
[02:55] 言い訳をする人はいかん。開き直らん。
[02:57] それの何が悪いんだと言えるようにならん
[02:59] とな。大体マスコミというのはイチもん
[03:01] ばっかりつけとるんだからイチもつけると
[03:04] いう言えんといかんわな。
[03:07] 自民党の理由の憲法の改正は今はもう
[03:12] あんまりでは言われてないんですかね。
[03:14] ほとマスコミが反対するし、マスコミが
[03:17] 怖が彼らの1番のはね、マスコミを怖がる
[03:20] ことや。なんで怖がるどころか制服しとる
[03:22] わな。マスコミに対してからもう日本の男
[03:25] の1万かんのはそこや。裁判官でもそう

--- 動画: [Moral Education] How to develop proper instincts ---
[00:00] 得意得って何なまず特の定義をしようよ
[00:04] 自然のものはみんな特なんだ人間が肉体と
[00:07] 精神に分かれとる肉体も得な精神の中で
[00:12] 自然のものあるもの本能だこれが得それを
[00:15] 育てようこれが得意じゃない何べも言っ
[00:18] てるように正しいあるいは善これは本能の
[00:21] ことだ理性は間違い簡単な例では自動車
[00:25] 事故やね自動車事故が起こるから自動車を
[00:28] なくせて誰も言わ自動車はハード運転の
[00:32] 仕方がソフト自動車事故という悪いことは
[00:35] ソフトで起こるんだ人間に言ってみよう
[00:38] 人間の精神本能がハード理性はソフトなん
[00:42] 本能の使い方だから悪い悪これは理性の中
[00:46] にあるんだ本能は善なんだから本能は全だ
[00:49] から人間はここまで生き延びたんだよ理性
[00:52] のない時からずっとま永遠と人間は種族
[00:55] 保存を続けて今我々がおるんじゃないだっ
[00:59] たら本のが正し真それを曲げちまうのが
[01:01] 理性やろ本能通りの行動すれのに本能を
[01:05] 曲げた行動するじゃんこれが悪なんだから
[01:09] 得意というのは正しいもの本能をしっかり
[01:13] させよう精神のうちでね精神が大事だから
[01:16] 人間はこれが得意本能のトレーニングを
[01:19] すれば
[01:20] いい本能をどうやってトレーニングするか
[01:23] 知ってる聞いたことないです知っとるわけ
[01:25] ないじゃんやってもらってないもんそう
[01:26] いうことよねこれがうちのやってたことな
[01:29] んだ本能のトレーニングだから正しくなる
[01:32] 本能が正しいんだから完璧な本能を作れば
[01:35] これは正しい正しいことができる本のが
[01:38] 間違ってたりダメだったり弱かったりする
[01:41] と大にして間違った行動をさせる悪い行動
[01:44] をする気候なんか見とったらそうやね長
[01:46] 本道弱いもんね文部化学書は今どういう
[01:49] 得意をされてです文部学書なんてそんな風
[01:51] に思ってないもんリベラル使っとるんだ
[01:53] から精神論が間違っとるのに日本みたいに
[01:56] 本能と理性に分けるなんてことができない
[01:59] 当然本のトレーニングしない何しろ
[02:01] ラショナル欧米の精神論では本は悪なんだ
[02:05] 理性が善な逆転しとるよね性前説という
[02:10] あの性というのは本能のことだ本能が善
[02:13] ですよというのが生前説欧米の精神論は
[02:17] 本能が悪だと言ってんだからあれは性悪説
[02:20] その代わり理性が善と言って逆転さしとる
[02:23] んよねだからヤは本当に悪いことするやろ
[02:26] 欧米人というのは世界制服しやがってそこ
[02:29] の国の大物財をみんな略奪していってそれ
[02:34] がないと人間を略奪してきて奴隷にして
[02:37] あれほど悪いことをした連中なんであんな
[02:40] 悪いことができたの理性が全というそれが
[02:42] あったからそれにちょっと宗教も絡んどる
[02:45] んやけね前説と制約説は生前説の方が絶対
[02:49] 的に正しいんですか正しいに決まっとる
[02:52] じゃんもし生が悪だったら我々は存在し
[02:56] ないもう滅びるよ我々が今ここに存すると
[03:00] いうのは生前説だからそれで存在しとる生
[03:03] 前説なんだからで本のこれを正しく強く
[03:08] トレーニングしようよ元々正しいんだから

--- 動画: Characteristics of people who are hard to trust [Hint: Humanities] ---
[00:00] 校長がさっきおっしゃってた信頼できる
[00:02] 人間の3条件っていうのを伺いたい
[00:06] です本能が完璧これは信用できるんだだ
[00:10] から本能を完璧にするためにどうする
[00:14] 正しい行動を繰り返せば本能が完璧になる
[00:17] 公然の気を養うって書いてあるんだから
[00:20] それを信じて正しいことをざとするように
[00:23] すりゃええということは文化はだめやねこ
[00:26] しないもんね結果出さんでええんやから
[00:29] 正しい行動っていうのは結果が出るんや
[00:31] からねだから結果出さんでいい文化系って
[00:34] いうのは信用ならんはないそれから大会系
[00:38] これは信用なるよね正しい行動をするため
[00:41] に体育会系やっとるんだからから現場の
[00:45] 人間仕事は正しい結果出さんといかんのや
[00:48] から正しい行動しとるわねだ全部申しの
[00:52] 言う義を行っとるんだだから大会系か理科
[00:56] 系か現場かこの3つが揃うほど信用できる
[01:00] ということや
[01:02] ね逆に言うとその3つがない人はちょっと
[01:06] 信用しにくいっていう嘘言うからね例えば
[01:09] その3つがそれぞれ逆ってどういう人なん
[01:12] ですかね現場主義じゃなくて現場じゃない
[01:15] 事務所の人間それから大会経者なしにま
[01:19] あれを文化系っていうのかなそれから理科
[01:22] 刑者なしに文化系そういうのは喋っとって
[01:25] も親用ならんじゃんこいつ本当のこと言っ
[01:28] とるんかなという気がする褒められたらあ
[01:31] こいつベンチャ言っとるなと思うじゃん
[01:33] テレビの評論家とか官僚とかそういう
[01:35] イメージですか例えばね野球評論家という
[01:39] のは元野球選手じゃんうんうんだから信用
[01:41] してもええんだはいもう自分が実際にやっ
[01:44] とるからねはい相撲でもあれでも大会系の
[01:47] 評論家というのは信用できるやろはいだ
[01:50] けど社会評論家なんか信用ならんやないか
[01:54] 経済評論家自分が儲けれゃええやないか
[01:57] なんで自分が儲かるのに人に教えるんや嘘
[02:00] やなと思った方がええそれで言うと小ママ
[02:03] さんって一応現場主義ではあるですよね
[02:06] あれリベラルだからダメなんじゃああそっ
[02:09] かリベラルでやったら間違いやろも教員
[02:12] 組合のね日教祖の人間やろ日教祖が間違っ
[02:16] とったから教育がこうなったわけであって
[02:19] 教育をダメにした人間の言うこと聞いても
[02:21] ええのか結果が出とるじゃんだめという
[02:24] リベラルは文化系なんですか文化系理科系
[02:28] にもおるけどな驚いたことには自民党の中
[02:31] にもリベラルおるよね分かってないんだ
[02:34] みんなねリベラルが正しいと思っとる
[02:37] マスコミだからもうちょっとな自分の言っ
[02:40] てることをよく分かろうよ自分の言ってる
[02:44] こと分かってないやろ
[02:46] みんなうちなんかよく文句言ってくるやつ
[02:50] 権利を守れうん分かった守るけど権利って
[02:53] 何なのたらさあそれはて言い出すやろ
[02:56] こんなことで文句言ってくんなこれこれれ
[02:58] こうしろと言ってく来るんやったらええよ
[03:00] 具体的に権利とはこうだからこうしろと
[03:03] そうやねただ権利という言葉を使って最も

--- 動画: [Compilation] How Education Works: Intellectual, Moral, and Physical Education [Review] [Work] ---
[00:00] 地域目的は的思考能力を作ることだ。これ
[00:05] が得意なんだ。本能のトレーニングをすれ
[00:08] ばいい。体育とスポーツは違う。目的が
[00:11] 違うんですよ。
[00:17] 今回地区得意について伺っていきたいんですけど、そもそもこの
[00:22] 3つってこうどういう言葉なんですかね?
[00:27] これはもう教育について教育の目的やね。世界中が言ってることじゃない。どこも地特育を目的として教育をするわね。
[00:38] だから日本もそれ一緒なんだけど、日本の
[00:41] 場合それぞれは地域の到着点目的は何なの
[00:47] ?特意の目的は何なの?体育の目的は何な
[00:50] の?これ全然知らずに我々も教えてもらっ
[00:53] てないじゃない。よくうちでよっとる時で
[00:55] も乗れるようになるとみんな自由に乗りた
[00:59] いって言い出すんや。好きに乗りたいです
[01:01] もんで乗ってこうよう。どうしていいか
[01:03] わからん。どこ行っていいか目的がないん
[01:06] や。だからあそこ行けって言われたらさと
[01:08] そっちへ行けるんやけど好きにせえ言われ
[01:11] たらどうしていいかわからんよなっちゃう
[01:12] 。教育も一緒だよ。地域とはこういう目的
[01:16] だからそういう目的に会うようにやれと
[01:19] そういう風に教育戦と目的達成できんよね
[01:22] 。例えばね音楽って何の目的であると思う
[01:26] ?分からんやろ。ここは何の目的なんだ?
[01:29] 数学の目的は何なんだ?そういうことを
[01:32] 全くこれ文部省が分からんのかな?我々も
[01:36] 学校行っとる時に聞いてないし。ただ
[01:39] 教わるままにはいはい言って聞いとった
[01:41] だけ。あれは間違いじゃないかな。
[01:45] チーク目的は理的思考能力を作ることだ。
[01:50] これは人間だけができること。科学的に
[01:54] ものを考える。正しく考える。これが地域
[01:58] の目的なんよ。チークが色々ある中で、
[02:01] 例えば論理的思考能力を作るためにやっ
[02:04] てんのが数学だ。みんな数学でもの考える
[02:07] んやけどね。昔文化系大学受験の時に理下
[02:13] 数学がなかったじゃない。理下数学がない
[02:16] のに修催になれた。これおかしいんや。理
[02:20] 系はちゃんと理下数学ができんと成り立た
[02:23] んから。だから論理的思考能力があるじゃ
[02:26] ない。で、この文化系が数学免除理下免除
[02:32] というこれがまずかったんやね。だから
[02:35] 教育でも今の教育科学的に考えないじゃ
[02:39] ない。目的もなしにやれっていうだけで
[02:43] 生徒はどうしていいか分かるにおろちろし
[02:46] と[音楽]もっといかんのは偏が目的に
[02:49] なっちまう。
[02:50] それだと偏差有利な社会になっとるからね。今みんながものを覚えれえんだ。考える必要ない。人が考えてくれたことを覚えればえ、だからだんだんダメになっていくわね。
[02:56] [音楽]
[03:02] 教育は文化系がやってるんですか?
[03:05] 教育は文化系がやっとるから行かんのよな。教育学部は文化系だよ。だから行かんのじゃない。数学の先生あるいは大育の先生がこれ偉くなれないじゃない。文化系の先生ばっかりが偉くなるじゃない。
[03:19] そういうね、考える力のない人が教育に
[03:23] 携わるもんで、考える力のある生徒を
[03:27] 養えるわけやないよね。自分ができんこと
[03:30] を教えたって[音楽]
[03:32] ダめだ。
[03:35] 校長の文化系と理下系の違いのはどういう
[03:39] 定義なんですか?え、文化系はね、結果
[03:42] から違いが分かるんよ。理系というのは
[03:46] 成果を上げてなんぼ[音楽]ないよ。

--- 動画: [Hiroshi Totsuka] Talking about LGBTQ [Racial Preservation] [Disability] [Patriotism] ---
[00:00] 種族保存が目的っていう風に校長がおっしゃってたのに対して自分はそんなことない。自分がこう幸せになるために生きてるっていうコメントがいくつかあったんですけど、これについてどう思いますか?
[00:16] うん。わがまま。自分さえよけえという。大体お前がおるのは
[00:17] 40
[00:18] 億年の間種族保存に勤めてきたから今のお前がおるんやないか。だけど自分だったらそいつはもうその責任は勘弁してもらおうと。
[00:28] 俺は俺のためだけに生きるよというそう
[00:31] いう言い方やからな。卑怯もやることを
[00:34] ちゃんとやってからあれせ生物の宿命なん
[00:37] だ。種族保存っていうのはそのために
[00:39] 生き取るんだからまずそれを果たせよ。
[00:42] それから好きなことやりゃええんだ。
[00:44] 大体自分の幸せのためつてもどうやったら
[00:47] 幸せになるか知ってな。種族保存が生きる
[00:50] 目的だともうすでにそれを終えてる人とか
[00:54] あとはその不妊とか体の都合で妊娠する
[00:57] ことができない。
[00:58] 方とかはどのように生きるのが良いとお考えですか?
[01:08] もうその人はしょうがないじゃん。もうあの免除されるよ。自分が悪いわけないからな。おそらく。だけどあれはいかんよね。
[01:09] LGBTQ
[01:14] は同じように認めるわけにかんやないか。
[01:16] LGBTQ
[01:17] はね。種族保存に適さないわけやもん。とは小さくなっとっくれんかな。
[01:22] 俺があんなにも無心をやってある人俺たちの権利はんであれはいかんよ。
[01:28] 校長の意見としてはLGBTQも別に1
[01:31] 人前として認めるとかではないんだけど自分たちで生きてる分には全然オッケーって感じなんです。
[01:36] もうしょうがないやないかそれしか生きれんのやからね。保存放棄しとるわけやろ。だけどるな。だから偉いなんてことはないんやで。ある程度小さくなっとるやん。
[01:46] みんなが責任を果たしとる時にそれは
[01:49] 果たさんわけ。堂々に扱えるなんてこう
[01:51] 叫ぶんじゃない。名古屋最建計画今やっ
[01:55] とるけど完全な復元にしようとしとるわけ
[01:58] よ。木造にしてね、中外全部逐上当じる
[02:03] そのままのものを作ろうとしとるんよ。そ
[02:05] したらね障害者団体から文句がついて
[02:09] エレベーターつけろって言うんや。
[02:10] エレベーターなんてその当時なかったんだ
[02:12] から復元じゃなくなっちゃうやん。だけど
[02:15] 彼らの言分は上まで階段で上がれんという
[02:18] わけよ。障害者やからね。だから
[02:20] エレベーターをつけるのは当然やないかと
[02:22] 。俺らの権利だと言い出すわけ。それない
[02:26] で逆差別やない。他の人に迷惑かけるやろ
[02:29] 。その他大勢にっていうのはそういう方向
[02:32] にあのマスコミのバカどを持っていくから
[02:34] いかにもそれが正論であるかのことね。
[02:37] これがリメラルだ。
[02:38] 長の共通した考えとして、あの、弱い人が偉いんじゃなくて、強い人が正しいっていうのが結構根底にあると思うんですけど、
[02:46] これは何が背景の考えなんですか?
[02:49] 強いの意味やね。強いの意味は授況、まだ授況やってないけど授業読むとよう書いてあるよ。強いとは何なんやろうと。結局がその答えを出しとるね。然の木を養う。権能を完璧にするということや。
[03:05] 質も量もこれが最強なんよ。本能の強さに
[03:09] よって人間の強さが決まる。理性やない。
[03:12] 理性は強さなことばっかり口だけ番長が
[03:15] できてくるんやけどね。だから本能の
[03:17] トレーニングというのをしっかりやらない
[03:19] か
[03:21] 。外国の精神論はまず間違えだ。日本の
[03:25] 精神論ヤ和魂。これは正しいんだ。だから
[03:29] しっかり魂を小さい頃から身につけさして
[03:33] で生活してみ昔の日本が取り戻せるよ。
[03:36] 悪いやつはいなくなる。どんどんいなく
[03:39] なるから。あれの話したから江戸時代の
[03:42] 末キにシュリーマンが日本にやってきた。

--- 動画: [Totsuka Hiroshi] Cutting down welfare benefits! ---
[00:00] 教育に失敗して引っこもりだけで何十万、
[00:03] 何百万とできちまった。彼らはもう一生
[00:05] ダメなんだよ。誰が責任取るんやな。一生
[00:09] ダメなのに誰も責任者がおらんやろ。で、
[00:13] 生活保護者にしてやる。ちゃんと
[00:14] 生き取れる。だからええやろって言っとる
[00:16] んや。とんでもない話や。ライトオブ
[00:19] ライフな。生命権と訳しとる。誰でも
[00:23] 生きる権利があるんだと。だから生活保護
[00:26] を与えればそれでええんだ。これが奴らの
[00:28] 解釈よ。だけどライトオブライフはね、
[00:31] 生命権生きてるだけじゃなしに生活権と
[00:35] 訳した方がええぞ。ちゃんとした生活を
[00:38] 送る権利な。引っこもりなんかちゃんとし
[00:40] たあれのわけないじゃん。結婚ができない
[00:43] ちゃんとした生活やないじゃん。子供を
[00:45] 作らない。ちゃんとした生活やないよ。老
[00:47] の生活が心配ちゃんとした生活やないよ。
[00:50] そこだと考えにゃ。だから生き取るだけで
[00:53] はダめ。ちゃんと行動し、正しい行動し
[00:57] 続ける。これが大事なんや。あれはね、
[00:59] 逃げだよ。だから文化系はダメなんなあ。
[01:03] 自分たちの言い訳ばっかり作っとる。もう
[01:05] 一刻も早く教育。保守が教育する。ヤ和魂
[01:10] でやる。ちゃんとした人間が出来上がり、
[01:12] ちゃんとした一生を送る。これが大事な。
[01:15] 早くともかく一刻も早く今のあの何百万と
[01:19] いう引っこもりをなんとかし責任を取ら
[01:22] せよう。あいつらが働かんから働けないん
[01:25] やけど。GDP下がるわけやろ。日本が
[01:28] ダメになってくわけ。あれらがちゃんと
[01:30] 働かないから国際競争力を低下するわけ
[01:33] やろからGDPまだ韓国より上だと言っ
[01:37] たって1人当たりのGDPは韓国の方が上
[01:40] なんやで。その何百万の人間が足を
[01:43] 引っ張っとるんにや。その何百万の人間を
[01:46] 作り出したのは文部省マスコミないや
[01:50] 。
[01:51] 国連が日本の天皇の女系天皇について人権侵害みたいな国連の会議で指摘してきたみたいなニュースがあって
[02:01] な。あれは日本が言うんだ。日本の除権主義者が国連に対してそういうあれを出せということ言うわけよ。からね。そのよそのその国の文化に口を出すなって言ったね。
[02:14] あれは日本はずっとこの何千年男系天皇の
[02:19] 元に統一してきた国なんや。女系天皇の何
[02:22] がいかん?男系天皇をずっと維持してきた
[02:25] ということは男のDNAそいつを守ってき
[02:29] たということなんだ。女系天皇にはそれが
[02:32] なくなるから女性天皇はええけど女系天皇
[02:36] はいかんのやな。あれ女性天皇がいかんと
[02:39] はちっとも言ってないやろ。女系天皇が
[02:41] いかんって言っとるんや。あ、マスコミの
[02:43] バカは理解できんわね。そういうことが昔
[02:46] からそれは中国でもあの真の思考が
[02:52] 紛論語とかああいうものをみんな燃やし
[02:55] ちまって授教の学者は行きめにしちまった
[02:59] と授教を抹殺しようとしたんやね。
[03:01] あれが消しからんことだ。言って言っとるのに戦後アメリカはそれをやったやないか。大和魂禁止で実際に書そういう本を全部燃やしちしちまったんやで。そんとして文句言わんのかね。
[03:11] [音楽]
[03:14] 燃やしちゃったんですか?
[03:16] そうだよ。だからこんな2
[03:19] 冊のこんな熱い本があるわ。GHQ
[03:21] に没収された本。GHQ

--- 動画: [Totsuka Legend] Defeating a monk in prison ---
[00:00] 校長と仏教の出会いについて伺いたいんですけど、つ頃から仏教を学るんですか?
[00:07] 仏教はね、逮捕されてからな、高知書におる間に仏教の勉強したんよね。あそこやったらイラン雑音なしにできるからな。うまく解釈できたと思うよ。あれを暴さなんかに習っとったら未だに仏教は理解できてないと思うけどね。
[00:14] [音楽]
[00:23] 当時も仏教って言うと大場仏教がメインだと思うんですけど、それはどうやって原子仏教学ばれたんですか?
[00:29] いやいや、最初コチにいろんな人が差し入れを送ってくんのさ、ほとんどがね、半若心境はない。ほんでこれ何ですか?言ったら読めばわかるって言うんや。読んだって俺は分からんと思う。こじがずらっと書いてあるだけや。申し訳ないけど説明に来てくれってそしたらやあどうのこうの言ってみんなこえへんの?自分が分かってない。
[00:51] で、半若心教に全てがあると言われとる
[00:53] もんね。だから犯若者心境を読めわかると
[00:56] いう風に言われとるやつを読め読めって
[00:59] 言っとるわけ。俺がそういう理解に優れ
[01:03] とるぞ見たわけじゃないよね。あの悪い
[01:05] やつを開心させようと思って神経を入れて
[01:08] くるわけやから。でもしょうがないもんで
[01:10] な。知り合いに暴さがおったんでその暴さ
[01:13] に来てもらってな。これようわからへん
[01:15] 言って。だから解説書とかそういうもの
[01:18] 入れてくれんかい?あなたが教えてくれて
[01:21] もええけど、あなたも分からんでしょう
[01:22] 言ったった。そしたら本当のところはよう
[01:25] わからんって言うんや。そんなものを読め
[01:27] 読め言うてみんな送り込んでくるわけや
[01:29] からな。
[01:32] そん時にね、ついでに言えへん。じゃあ
[01:34] もう1つ仏教は空を解く宗教でしょ。空の
[01:38] 定義をしてくれ。これはできるでしょう。
[01:40] 暴さなんだけどね。それいやはね、非常に
[01:45] 難しい概念でどうのこ、そんな難しいもの
[01:49] が世界3大宗教の1つになるはずがないや
[01:52] ないか。みんな分かったから信者になった
[01:54] んやで。あなたが分からんだけやないの。
[01:57] そう言われたら面の大東さんの系統のとこ
[01:59] やったもんでな。あなたが分からんのは
[02:01] よう分かった。だけどもそこのお寺が
[02:04] 分からんわけやないやろ。そこのお寺とし
[02:07] て解釈持ってらっしゃい。1ヶ月こうへん
[02:09] で。電方売ったったやん。この嘘つき言う
[02:12] てしたらすっ飛んできてね。いや、確かに
[02:15] あなたは空の定義を持ってこいと言いまし
[02:17] たけど、私は持っていくとは言いません
[02:19] でしたって言うよ。だから嘘はついてない
[02:22] 。それは失礼した言うてで分かるんですか
[02:25] ?言ったらいやあそしたら分かった。
[02:28] あんたんとこのお寺が分からんのは分かっ
[02:30] た。本願寺が分からんことはないやろ。
[02:33] あれだけ大勢の浸透を抱えるほどのとこや
[02:36] ん。騙して新透作ったわけやないやろ。
[02:38] 本願寺として持ってらっしゃいよ。いやあ
[02:41] 、そんなことを頼めるかな言っとるもんね
[02:44] 。本願寺が逃げたと言うぞ。だったら
[02:46] ちょっと待ってくれ。じゃあ一ぺって聞い
[02:49] てきます。からこうへんはな。もうあれ見
[02:51] た時にね、ま、こりゃいかん思って坊主が
[02:54] 食うが分からんと言ったら許されんよ。そ
[02:57] やろ。みんなを食うにしようとしとるわけ
[02:59] やで。大丈夫仏教なんてのは俺が救って
[03:02] やるということやからみんなを食うにして
[03:04] やるって言っとんのと一緒やないか。
[03:06] ところが食うとは何かしら。どうするんや
[03:08] 。おっせだけは取るんやろ。詐欺やないか
[03:11] 。専門家が仏教が分からずにさ、お伏せ
[03:15] だけは取とるやないか。あげ子の果ては酒

--- 動画: 【動物行動学】戸塚宏の土台 ---
[00:00] 校長の教育論とあと人間論を理解して
[00:03] もらうために全体像からまず動物行動学
[00:06] っていうのが土台にあってでその上に
[00:09] 仏教授事教があってで大和魂っていうこの
[00:12] 順番でお話ししていこうかなと思ってるん
[00:14] です
[00:16] けど動物行動学はね割と新しい精神論有名
[00:21] な人はローレンツというこれノーベル小学
[00:25] 者やね動物工学でノーベル賞取っただけど
[00:28] も彼が動物構造学を発表したのはかなり
[00:33] 年取ってからない。もっと早くやっとって
[00:35] くれればよかったんやけどね。ダーウイン
[00:38] と一緒でね、ダーウインが進化論を出した
[00:41] のはもう死んでもええと思った頃ない。と
[00:45] いうのはダーウィンの進化論も動物行動学
[00:49] も反キキリスト教ない。だから下手すると
[00:54] 魔女裁判にかけられてヒアフりされちまう
[00:57] 。だからもう死んでもええていう時まで
[01:00] できんのや。発表できんのや。もう完全に
[01:03] こいつを解明し尽くした。
[01:05] だからもう新度もええという風にして発表するんや。向こうの学者というのはそれぐらいの覚悟をしてやるんやで。
[01:07] [音楽]
[01:16] これどういう学問なんですかね?
[01:18] 精神論なんだけどもそれまではキリスト教から来る精神論やったわけやね。つまり想像論。神が人間を作った。で、その時に神は人間だけに理性を与えた。
[01:34] だから理性が正しいんだというのが基本に
[01:38] なっとるわけで、ここが1番大きな間違い
[01:41] なんよね。理性は自分が作るもんであって
[01:44] ね、神に与えられたもんじゃないんよ。神
[01:47] が人間に理性を与えたからだから看んぼに
[01:51] も理性があるって言い出したい。だけど
[01:53] あいつら喋らんし行動しないしそこの
[01:56] 大きな間違いをそのまんまほったらかし
[01:59] て論を進めていったもんであいうわけの
[02:03] わからん哲学とかになっちまうわけやね。
[02:07] 理性が正しいんだったら哲学は正しいなら
[02:10] 理性論もんね。完全に
[02:14] 動物行動学論の学問なんですか?
[02:17] 動物構造学今までの心理学精神論やね。
[02:22] それに対するアンチとしてできたんや。
[02:25] 心理学というのは最初哲学の中にあったん
[02:28] やねから理性が正しいという前提に立たん
[02:31] と心理学はできんわな。だけどもそれの
[02:34] 血管が色々出てきてフロイトが出てで
[02:37] フロイトがアメリカ行って成功したんかな
[02:40] 。あれ精神分析をやってもらってだけど
[02:43] 本当のところをいくらやったって何の効果
[02:45] もないっていうのがだんだん分かってくる
[02:47] わけやね。で、その頃もう効果がないと
[02:50] いうことを分かった頃に日本で投稿拒否が
[02:53] 大問題になってきて、それもフロイトで
[02:56] 治るんだと言い出して、ヨットスクール
[02:58] なんか行くのは精神分析で直してやる。
[03:01] 全然治らんよ。当然のことないだってね。
[03:04] 考えてこら。あの頃投校拒否のことを情緒
[03:08] 障害時って呼んどったんだ。情緒というの
[03:11] は本能のランクにおける感情のことだ。
[03:15] それが障害されている。すなわち能が狂っ
[03:18] とるという意味やないか。そいつを理性で
[03:22] 直すカウンセリングっていうのは理性で
[03:24] 直そうということやから本能には理性は

--- 動画: [Comprehensive explanation] Do you guys really understand Buddhism? #Totsuka Yacht School #Buddhism ---
[00:00] YouTube
[00:00] で仏教についての質問とかアンチコメントがたくさん来てたので、今日は改めて仏教についてそこの説明をよろしくお願いします。
[00:08] はい。はい。
[00:11] 色々批判とか質問とかいいたんだけど呼んでみると仏教が理解してないんやないかな。まずね、理解しようと思ったら仏教というのは何なのか。仏教の目的は何なのか。
[00:25] それをどうやって解決すんのかという、
[00:27] そいつが分からんといかんよね。仏教の
[00:30] 1番の問題はシハックなんや。だから
[00:33] そいつが正しく理解できないと。
[00:38] お釈迦様が仏教を開くまでの歴史を辿どっ
[00:41] てみたらえっと彼は王族の子供やね。王族
[00:46] の生まれやから金には困らん。権力もある
[00:49] 。本人は修でスポーツ万やったんで嫁さん
[00:53] は綺麗でA嫁さんやったんで子供は渋さ
[00:57] やったんやで普通考えると区が発生する
[01:00] わけないじゃん全て満足されとるんところ
[01:02] がそれでも苦が残るとなんでだろうという
[01:06] ことやそれをその苦をなくすために修行に
[01:10] 入ったわけだから家を捨てて当時の
[01:13] ウパニシャド哲学のやり方やからね家を
[01:16] 捨てて自分の身分も全て捨てて森に入って
[01:21] いわゆる苦業というの7年やったかな
[01:24] なんかやったんや。なぜそういうことを
[01:26] するかと言うと精神はええんだけど肉体が
[01:30] いかんのだっていうわけよ。哲学やからね
[01:32] 。だったらその肉体を死ぬ方に持っていっ
[01:35] て死ぬ寸前まで持ってってみいとそうし
[01:37] たら食がなくなるはずや。これが
[01:39] ウパニシャ哲学なや。これが苦業なんやね
[01:42] 。食うものも食わずにひでえ環境の中で雨
[01:46] が降ったら乗れるとかそういう森の中でね
[01:49] ずっと修行を7年間続けたけど食は
[01:52] なくならんやって
[01:55] こっからが科学者の言えやこれは間違っと
[01:58] んだとウパニシャ哲学は間違っとるんで
[02:01] あるだから自分なりにもう1ぺやり直そう
[02:04] として森から出てきて二川という川で体を
[02:09] 笑って横に生えとった母大樹の木の下で
[02:13] 休んどって、そしたらそこにスジャータと
[02:16] いう女の子がやってきて、牛乳で作った
[02:19] おかゆだ。そいつを食わしてくれた。
[02:22] そいつで健康を回復して、体力を回復して
[02:26] それから瞑想に入った。で、瞑想に入って
[02:29] 1週間かそこらで悟りを開いたい。そう
[02:32] いうことやもんでお釈迦様が悟ったのは区
[02:35] には2種類ある。1つはいい区と悪い区や
[02:39] 。
[02:41] 区というのはその区で行動する。行動し
[02:44] たら結果が出る。結果が出たら区が消える
[02:47] 。で、会感が湧いてくる。これが幸福と
[02:50] いうことなん。だから幸福の前には必ず区
[02:53] がないといかんのや。で、今の教育論では
[02:56] その人が取ってくれるわけよ。子供に発さ
[02:59] せんようにしよう。何しろクは悪だから。
[03:02] だけお釈迦様はク言る
[03:04] わけ。ここ結構質問とかアンチコメで
[03:07] 多かったですよね。うん。だって苦があっ
[03:09] て最後幸福になるんやから何のためにある
[03:13] の?本能として行動させるためにあるんや
[03:15] ないか。これは世界中が言っとるやん。
[03:18] 会議を求め不快を避ける。これがあの行動

--- 動画: 【体罰は善】 よくある反論を斬る ---
[00:00] 体罰を容認してしまうとそれを乱用して
[00:03] エスカレートしてしまう。そういう人が出
[00:05] てくるからは許すべきではないっていうお
[00:08] 話だったんですけど、これについてどう
[00:10] 思いますか
